Feature ID	Taxon	Confidence	domain	phylum	class	order	family	genus	species
04ecfad5772d2e09a84a0f5ef460536c	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Methylobacterium;s__	0.99998334	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Beijerinckiaceae	g__Methylobacterium	s__
64cda1fc73d82ef1a56df9d175e46fcf	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Halolactibacillus;s__	0.958007797	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Halolactibacillus	s__
05e4f40f4ef41c503a38c4ec58d3ccf8	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Jeotgalibacillus;s__	0.992382313	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Jeotgalibacillus	s__
1e104b993416995498346089f57fd3bf	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	0.952134474	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Methylophilaceae	g__Methylophilus	s__
ac9d46780cb683b0894287d3d337738e	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Halolactibacillus;s__	0.986317312	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Halolactibacillus	s__
61d96b86c674ec6276984c9be7a81efc	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.999501836	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae		
d829bee4984f82ffc2453212157caf96	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae	0.999992755	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae		
c0f775fff77049501c4f8b4f5460097c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__	0.998672127	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__
08c7f5edac53f41eb967cda716611bae	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__	0.937074232	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__
71f40c8f3a70e5725e43aecf45dca078	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseococcus;s__	0.952514303	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseococcus	s__
